#################### HIPFILE BACKEND: FASTPATH ####################
RUN_DIRECTORY	/mnt/ais/xfs/johtyler/hipfile-io-stat-effects.rkjq8a/fastpath
GPU_ID	0
DIO_MEMORY_ALIGNMENT	4
DIO_OFFSET_ALIGNMENT	512
NORMAL_IO_SIZE	4096
INITIAL_FILE_SIZE	1048576
NOTE	Exact transitions are compared for structural fields; timestamps and inode values are compared by changed/unchanged state.

=== read-zero-in-range (size=0, offset=0) ===
RETURN	POSIX=0 errno=0	HIPFILE=0 errno=0
statx.stx_rdev	0:0 -> 0:0 (unchanged)	0:0 -> 0:0 (unchanged)	MATCH
statx.stx_dev	259:5 -> 259:5 (unchanged)	259:5 -> 259:5 (unchanged)	MATCH
statx.stx_dio_mem_align	4 -> 4 (unchanged)	4 -> 4 (unchanged)	MATCH
statx.stx_dio_offset_align	512 -> 512 (unchanged)	512 -> 512 (unchanged)	MATCH
POST_CLOSE_FIELD	POSIX before -> post-close	HIPFILE before -> post-close	COMPARISON
post-close.fstat.st_size	1048576 -> 1052672 (changed)	1048576 -> 1052672 (changed)	MATCH
post-close.fstat.st_blocks	2048 -> 2056 (changed)	2048 -> 2056 (changed)	MATCH
post-close.fstat.st_mtim	946684801.000000000 -> 1787157835.376113001 (changed)	946684801.000000000 -> 1787157835.383113361 (changed)	MATCH
post-close.fstat.st_ctim	1787157835.374112898 -> 1787157835.376113001 (changed)	1787157835.381113258 -> 1787157835.383113361 (changed)	MATCH
post-close.statx.stx_size	1048576 -> 1052672 (changed)	1048576 -> 1052672 (changed)	MATCH
post-close.statx.stx_blocks	2048 -> 2056 (changed)	2048 -> 2056 (changed)	MATCH
post-close.statx.stx_ctime	1787157835.374112898 -> 1787157835.376113001 (changed)	1787157835.381113258 -> 1787157835.383113361 (changed)	MATCH
post-close.statx.stx_mtime	946684801.000000000 -> 1787157835.376113001 (changed)	946684801.000000000 -> 1787157835.383113361 (changed)	MATCH
POST_CLOSE_RESULT	MATCH
CASE_RESULT	FAIL

SUMMARY	6/7 cases passed
AIS-STATS Version: 1
HipFile Stats Level: 1
File Handle Registrations: 7
Buffer Registrations: 1
Fastpath Rejections: 0

Total Fastpath Read Size (B): 4096
Average Fastpath Read Bandwidth (GiB/s): 0.0363305
Average Fastpath Read Latency (us): 35
Total Fastpath Read Errors: 0
Total Fastpath Read Unaligned: 0

Total Fastpath Write Size (B): 8192
Average Fastpath Write Bandwidth (GiB/s): 0.0641126
Average Fastpath Write Latency (us): 29.75
Total Fastpath Write Errors: 0
Total Fastpath Write Unaligned: 0

Total Fallback Read Size (B): 0
Average Fallback Read Bandwidth (GiB/s): 0
Average Fallback Read Latency (us): 0
Total Fallback Read Errors: 0
Total Fallback Read Unaligned: 0

Total Fallback Write Size (B): 0
Average Fallback Write Bandwidth (GiB/s): 0
Average Fallback Write Latency (us): 0
Total Fallback Write Errors: 0
Total Fallback Write Unaligned: 0

GPU 0:
IO Size Histogram
IO Size (KiB)               Fastpath Read Size (B)           Fastpath Write Size (B)            Fallback Read Size (B)           Fallback Write Size (B)
0-4                                              0                                 0                                 0                                 0
4-8                                           4096                              8192                                 0                                 0
8-16                                             0                                 0                                 0                                 0
16-32                                            0                                 0                                 0                                 0
32-64                                            0                                 0                                 0                                 0
64-128                                           0                                 0                                 0                                 0
128-256                                          0                                 0                                 0                                 0
256-512                                          0                                 0                                 0                                 0
512-1024                                         0                                 0                                 0                                 0
1024-2048                                        0                                 0                                 0                                 0
2048-4096                                        0                                 0                                 0                                 0
4096-8192                                        0                                 0                                 0                                 0
8192-16384                                       0                                 0                                 0                                 0
16384-32768                                      0                                 0                                 0                                 0
32768-65536                                      0                                 0                                 0                                 0
65536-...                                        0                                 0                                 0                                 0
IO Bandwidth Histogram
IO Size (KiB)      Fastpath Read Bandwidth (GiB/s)  Fastpath Write Bandwidth (GiB/s)   Fallback Read Bandwidth (GiB/s)  Fallback Write Bandwidth (GiB/s)
0-4                                              0                                 0                                 0                                 0
4-8                                      0.0476837                         0.0706425                                 0                                 0
8-16                                             0                                 0                                 0                                 0
16-32                                            0                                 0                                 0                                 0
32-64                                            0                                 0                                 0                                 0
64-128                                           0                                 0                                 0                                 0
128-256                                          0                                 0                                 0                                 0
256-512                                          0                                 0                                 0                                 0
512-1024                                         0                                 0                                 0                                 0
1024-2048                                        0                                 0                                 0                                 0
2048-4096                                        0                                 0                                 0                                 0
4096-8192                                        0                                 0                                 0                                 0
8192-16384                                       0                                 0                                 0                                 0
16384-32768                                      0                                 0                                 0                                 0
32768-65536                                      0                                 0                                 0                                 0
65536-...                                        0                                 0                                 0                                 0
IO Latency Histogram
IO Size (KiB)           Fastpath Read Latency (us)       Fastpath Write Latency (us)        Fallback Read Latency (us)       Fallback Write Latency (us)
0-4                                           12.5                               5.5                                 0                                 0
4-8                                             80                                54                                 0                                 0
8-16                                             0                                 0                                 0                                 0
16-32                                            0                                 0                                 0                                 0
32-64                                            0                                 0                                 0                                 0
64-128                                           0                                 0                                 0                                 0
128-256                                          0                                 0                                 0                                 0
256-512                                          0                                 0                                 0                                 0
512-1024                                         0                                 0                                 0                                 0
1024-2048                                        0                                 0                                 0                                 0
2048-4096                                        0                                 0                                 0                                 0
4096-8192                                        0                                 0                                 0                                 0
8192-16384                                       0                                 0                                 0                                 0
16384-32768                                      0                                 0                                 0                                 0
32768-65536                                      0                                 0                                 0                                 0
65536-...                                        0                                 0                                 0                                 0
IO Errors Histogram
IO Size (KiB)            Fastpath Read Error Count        Fastpath Write Error Count         Fallback Read Error Count        Fallback Write Error Count
0-4                                              0                                 0                                 0                                 0
4-8                                              0                                 0                                 0                                 0
8-16                                             0                                 0                                 0                                 0
16-32                                            0                                 0                                 0                                 0
32-64                                            0                                 0                                 0                                 0
64-128                                           0                                 0                                 0                                 0
128-256                                          0                                 0                                 0                                 0
256-512                                          0                                 0                                 0                                 0
512-1024                                         0                                 0                                 0                                 0
1024-2048                                        0                                 0                                 0                                 0
2048-4096                                        0                                 0                                 0                                 0
4096-8192                                        0                                 0                                 0                                 0
8192-16384                                       0                                 0                                 0                                 0
16384-32768                                      0                                 0                                 0                                 0
32768-65536                                      0                                 0                                 0                                 0
65536-...                                        0                                 0                                 0                                 0
Fastpath Read Unaligned Count: 0
Fastpath Write Unaligned Count: 0
Fallback Read Unaligned Count: 0
Fallback Write Unaligned Count: 0
fastpath POC process failed with status 1
